description,average,standard_deviation,individual_results,min,max,type
Quantidade de pessoas por sexo na base de dados?,1310.41650390625,29.280295745257895,"[1307.547119140625, 1274.31005859375, 1301.104736328125, 1357.929931640625, 1367.736572265625, 1312.197509765625, 1318.41650390625, 1291.85888671875, 1292.8212890625, 1280.242431640625]",1274.31005859375,1367.736572265625,ccb
Valor total da média familiar e total de pessoas por municipio,72.478759765625,7.245791091561829,"[71.4365234375, 66.984619140625, 88.670166015625, 69.74951171875, 66.827392578125, 84.44677734375, 68.335693359375, 70.46435546875, 70.085205078125, 67.787353515625]",66.827392578125,88.670166015625,ccb
Quantidade de pessoas agrupadas por nível de escolaridade,46.560498046875,2.5533252520802683,"[49.352294921875, 43.850341796875, 46.729736328125, 48.360595703125, 47.65625, 50.882568359375, 44.82373046875, 42.76416015625, 47.54248046875, 43.642822265625]",42.76416015625,50.882568359375,ccb
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,22.6200439453125,1.4270660633471537,"[22.929443359375, 22.103759765625, 24.220703125, 21.306884765625, 21.673583984375, 22.3056640625, 21.431884765625, 21.474609375, 22.67041015625, 26.08349609375]",21.306884765625,26.08349609375,ccb
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,40.863134765625,4.145029889310742,"[38.000732421875, 37.677978515625, 46.8701171875, 38.281005859375, 42.262451171875, 38.55810546875, 38.338623046875, 38.87158203125, 39.373779296875, 50.39697265625]",37.677978515625,50.39697265625,ccb
Quantos idosos existem em cada família no estado da Bahia?,59.3326904296875,5.484499869650395,"[66.84033203125, 68.68115234375, 54.362060546875, 62.16162109375, 55.35986328125, 57.58984375, 50.074951171875, 60.4833984375, 61.8935546875, 55.880126953125]",50.074951171875,68.68115234375,cci
Qtd de pessoas por Município e cor/raça,519.5533935546875,32.686532458661155,"[491.28759765625, 587.4228515625, 544.55908203125, 515.955078125, 487.600830078125, 521.78125, 539.408935546875, 540.80419921875, 474.739501953125, 491.974609375]",474.739501953125,587.4228515625,cci
Qual é a média de pessoas por família em cada município?,58.2614013671875,3.514053590406197,"[60.276123046875, 62.821533203125, 54.86083984375, 55.0439453125, 62.5927734375, 54.811279296875, 55.455810546875, 55.955078125, 63.8427734375, 56.953857421875]",54.811279296875,63.8427734375,cci
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",483.0173583984375,28.11544104967809,"[513.4453125, 473.6572265625, 486.133056640625, 439.495361328125, 466.7412109375, 500.13720703125, 514.694091796875, 476.245849609375, 520.797607421875, 438.82666015625]",438.82666015625,520.797607421875,cci
"Quantidade de pessoas por idade, sexo e função que recebem remunerção equivalente a salário mínimo ou inferior",237.837060546875,10.270554184025029,"[246.416015625, 223.478515625, 254.222412109375, 255.441650390625, 237.4599609375, 231.758056640625, 229.96630859375, 230.837646484375, 237.926513671875, 230.863525390625]",223.478515625,255.441650390625,cci
Em que municípios moram as 5 pessoas mais velhas entrevistadas?,197.2314453125,7.486587823254206,"[206.204345703125, 183.358642578125, 190.1962890625, 206.73193359375, 194.257568359375, 204.222412109375, 201.28076171875, 192.42138671875, 201.82958984375, 191.8115234375]",183.358642578125,206.73193359375,cci
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",69.4198974609375,6.908592672972361,"[69.580322265625, 65.59326171875, 66.193603515625, 65.43212890625, 64.443603515625, 73.758056640625, 87.56396484375, 63.94091796875, 72.898681640625, 64.79443359375]",63.94091796875,87.56396484375,cci
Quantas mulheres concluíram o ensino fundamental?,49.4165771484375,1.2838756131076101,"[49.33642578125, 49.791015625, 50.6982421875, 49.207275390625, 47.82421875, 51.5244140625, 50.9951171875, 48.55810546875, 48.842529296875, 47.388427734375]",47.388427734375,51.5244140625,cci
"Quantas famílias existem em cada município, agrupadas por água canalizada ?",883.577490234375,11.672197755285824,"[879.259033203125, 868.138427734375, 883.859619140625, 875.2119140625, 883.009033203125, 897.80712890625, 873.688232421875, 880.72021484375, 883.549072265625, 910.5322265625]",868.138427734375,910.5322265625,cci
Qual a media de pessoas por familia por municipio?,55.60419921875,8.158283436758676,"[51.703125, 49.87060546875, 50.157470703125, 64.94482421875, 55.69921875, 52.40576171875, 75.601318359375, 48.752685546875, 57.591796875, 49.315185546875]",48.752685546875,75.601318359375,cci
Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram?,149.094091796875,6.19408978012357,"[158.71337890625, 148.764404296875, 158.4677734375, 146.7138671875, 142.405517578125, 137.2890625, 149.2373046875, 147.42626953125, 152.3076171875, 149.61572265625]",137.2890625,158.71337890625,cci
Quais são os cinco municípios com a maior população e quantas famílias vivem em cada um?,53.07119140625,2.914564113449047,"[54.976318359375, 51.946044921875, 51.32080078125, 52.47607421875, 50.856201171875, 51.878173828125, 51.31787109375, 51.8828125, 61.181640625, 52.8759765625]",50.856201171875,61.181640625,cci
Quantas famílias com mais de 3 pessoas têm acesso a água canalizada em seus domicílios?,47.7506103515625,4.051432337805112,"[51.043212890625, 45.751953125, 44.3984375, 58.586181640625, 46.692626953125, 46.18115234375, 47.2392578125, 44.5302734375, 47.8681640625, 45.21484375]",44.3984375,58.586181640625,cci
Quantas pessoas do sexo feminino moram em casas com água canalizada?,89.620361328125,4.957422078434486,"[93.9599609375, 84.803466796875, 86.913330078125, 86.380126953125, 87.933837890625, 85.7314453125, 97.961669921875, 92.0712890625, 83.4560546875, 96.992431640625]",83.4560546875,97.961669921875,cci
"Qual a quantidade de pessoas do sexo masculino e feminino, respectivamente, em Salvador?",43.034423828125,1.9648401704001004,"[42.904052734375, 47.897216796875, 42.377685546875, 42.2939453125, 42.319091796875, 40.50537109375, 44.984130859375, 43.185791015625, 42.58203125, 41.294921875]",40.50537109375,47.897216796875,cci
